"","annot.symbol","seqnames","diff_meth","mu0","mu1","annot.type","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"388","ACTN1","chr14",0.343782057,0.656873206,0.313091149,"hg38_genes_introns",-0.847623171838339,-0.847632768647979,8.80167062847629,0.0250796438024605,0.688328043930142
"389","ACTN1","chr14",0.343782057,0.656873206,0.313091149,"hg38_genes_introns",-0.847623171838339,-0.847632768647979,8.80167062847629,0.0250796438024605,0.688328043930142
"390","ACTN1","chr14",0.343782057,0.656873206,0.313091149,"hg38_genes_introns",-0.847623171838339,-0.847632768647979,8.80167062847629,0.0250796438024605,0.688328043930142
"391","ACTN1","chr14",0.343782057,0.656873206,0.313091149,"hg38_genes_introns",-0.847623171838339,-0.847632768647979,8.80167062847629,0.0250796438024605,0.688328043930142
"392","ACTN1","chr14",0.343782057,0.656873206,0.313091149,"hg38_genes_introns",-0.847623171838339,-0.847632768647979,8.80167062847629,0.0250796438024605,0.688328043930142
"393","ACTN1","chr14",0.343782057,0.656873206,0.313091149,"hg38_genes_introns",-0.847623171838339,-0.847632768647979,8.80167062847629,0.0250796438024605,0.688328043930142
"394","ACTN1","chr14",0.343782057,0.656873206,0.313091149,"hg38_genes_introns",-0.847623171838339,-0.847632768647979,8.80167062847629,0.0250796438024605,0.688328043930142
"395","ACTN1","chr14",0.343782057,0.656873206,0.313091149,"hg38_genes_introns",-0.847623171838339,-0.847632768647979,8.80167062847629,0.0250796438024605,0.688328043930142
"396","ACTN1","chr14",0.343782057,0.656873206,0.313091149,"hg38_genes_introns",-0.847623171838339,-0.847632768647979,8.80167062847629,0.0250796438024605,0.688328043930142
"397","ACTN1","chr14",0.343782057,0.656873206,0.313091149,"hg38_genes_introns",-0.847623171838339,-0.847632768647979,8.80167062847629,0.0250796438024605,0.688328043930142
"398","ACTN1","chr14",0.343782057,0.656873206,0.313091149,"hg38_genes_introns",-0.847623171838339,-0.847632768647979,8.80167062847629,0.0250796438024605,0.688328043930142
"582","ADAMTS12","chr5",0.270362494,0.321367871,0.051005377,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"583","ADAMTS12","chr5",0.255099381,0.564732703,0.309633322,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"584","ADAMTS12","chr5",0.307629545,0.639777061,0.332147515,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"585","ADAMTS12","chr5",0.270362494,0.321367871,0.051005377,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"586","ADAMTS12","chr5",0.24499278,0.270453652,0.025460872,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"587","ADAMTS12","chr5",0.270362494,0.321367871,0.051005377,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"588","ADAMTS12","chr5",0.351045166,0.634477279,0.283432112,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"589","ADAMTS12","chr5",0.24499278,0.270453652,0.025460872,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"590","ADAMTS12","chr5",0.329903867,0.558387648,0.22848378,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"591","ADAMTS12","chr5",0.329903867,0.558387648,0.22848378,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"592","ADAMTS12","chr5",0.308547334,0.457465474,0.14891814,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"593","ADAMTS12","chr5",0.302584728,0.748627661,0.446042933,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"594","ADAMTS12","chr5",0.29585732,0.424347978,0.128490658,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"595","ADAMTS12","chr5",0.436795022,0.739641594,0.302846572,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"596","ADAMTS12","chr5",0.29585732,0.424347978,0.128490658,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"597","ADAMTS12","chr5",0.270362494,0.321367871,0.051005377,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"598","ADAMTS12","chr5",0.351045166,0.634477279,0.283432112,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
"599","ADAMTS12","chr5",0.29585732,0.424347978,0.128490658,"hg38_genes_introns",-1.34076209436365,-1.34084522885658,6.48696586309731,0.0021254791402437,0.170221472919667
